City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,4147.0,32935.0,2.39,MA,White,58723
Wilmington,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,Asian,3152
Tampa,Florida,35.3,175517.0,193511.0,369028,20636.0,58795.0,2.47,FL,Hispanic or Latino,95154
Gastonia,North Carolina,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67,NC,Asian,2788
Tyler,Texas,33.9,50422.0,53283.0,103705,4813.0,8225.0,2.59,TX,American Indian and Alaska Native,1057
Rialto,California,31.6,49902.0,53235.0,103137,2036.0,32741.0,3.83,CA,Black or African-American,11800
Sandy,Utah,34.6,46923.0,46689.0,93612,3451.0,6691.0,3.22,UT,American Indian and Alaska Native,507
Arden-Arcade,California,41.5,47596.0,48680.0,96276,6511.0,13458.0,2.18,CA,Black or African-American,13647
Upland,California,39.7,36226.0,40221.0,76447,2898.0,16552.0,2.77,CA,Black or African-American,5717
Cape Coral,Florida,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85,FL,Black or African-American,7311
Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,American Indian and Alaska Native,1262
Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,Asian,8423
Bloomington,Minnesota,40.9,43318.0,43118.0,86436,6176.0,10728.0,2.3,MN,Black or African-American,5828
Santa Maria,California,30.1,53320.0,51762.0,105082,2876.0,39192.0,3.83,CA,Hispanic or Latino,81551
Buena Park,California,35.7,41593.0,41671.0,83264,3116.0,28430.0,3.55,CA,White,48412
Nampa,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,Hispanic or Latino,22066
Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,White,112743
Napa,California,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84,CA,Hispanic or Latino,33229
Canton,Ohio,33.4,34476.0,37419.0,71895,3404.0,2204.0,2.32,OH,American Indian and Alaska Native,358
Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,Hispanic or Latino,243190
Sparks,Nevada,36.1,47780.0,48318.0,96098,7315.0,15690.0,2.63,NV,Black or African-American,4226
Kent,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA,Asian,26168
Greeley,Colorado,31.0,50792.0,50091.0,100883,4294.0,11480.0,2.75,CO,Black or African-American,2856
Renton,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.57,WA,Hispanic or Latino,15392
Compton,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA,Asian,1732
Lubbock,Texas,29.2,122320.0,126731.0,249051,10588.0,14226.0,2.61,TX,American Indian and Alaska Native,7627
Lubbock,Texas,29.2,122320.0,126731.0,249051,10588.0,14226.0,2.61,TX,White,206318
Stamford,Connecticut,35.4,64941.0,63936.0,128877,2269.0,44003.0,2.7,CT,Black or African-American,24329
Fort Collins,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO,Asian,7913
Sioux Falls,South Dakota,34.6,86596.0,84934.0,171530,8658.0,12934.0,2.38,SD,Asian,4689
Beaumont,Texas,31.6,57326.0,60784.0,118110,7584.0,10516.0,2.47,TX,Hispanic or Latino,18815
Chico,California,29.9,46168.0,44168.0,90336,4519.0,8425.0,2.5,CA,Asian,6101
Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,6624.0,3803.0,2.68,MO,Black or African-American,7100
Wichita,Kansas,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56,KS,White,305910
Topeka,Kansas,37.1,60879.0,66378.0,127257,9608.0,6711.0,2.32,KS,Hispanic or Latino,18640
Cedar Park,Texas,34.4,31248.0,33589.0,64837,3090.0,5207.0,3.05,TX,Hispanic or Latino,11872
Fairfield,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,Black or African-American,18274
Kent,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA,Hispanic or Latino,21928
Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,1131.0,63413.0,3.18,NJ,Hispanic or Latino,86456
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,White,111832
Federal Way,Washington,36.4,49151.0,46037.0,95188,7135.0,18565.0,2.68,WA,Asian,16026
Clovis,California,37.8,52392.0,51780.0,104172,6173.0,13409.0,2.76,CA,Hispanic or Latino,23744
College Station,Texas,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52,TX,Hispanic or Latino,17784
Topeka,Kansas,37.1,60879.0,66378.0,127257,9608.0,6711.0,2.32,KS,Asian,3127
Bellevue,Washington,37.4,70763.0,69051.0,139814,5382.0,54654.0,2.43,WA,Asian,52223
Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,Hispanic or Latino,2525
Pembroke Pines,Florida,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94,FL,Hispanic or Latino,60519
Carson,California,40.4,43790.0,49506.0,93296,4273.0,33860.0,3.7,CA,White,28801
Johnson City,Tennessee,38.2,31019.0,34350.0,65369,5038.0,2878.0,2.18,TN,Asian,1877
Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,Asian,2374
South Gate,California,32.5,47758.0,48641.0,96399,724.0,40571.0,3.97,CA,White,55444
Pomona,California,32.1,74945.0,78307.0,153252,3251.0,53879.0,3.63,CA,American Indian and Alaska Native,3866
Fresno,California,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12,CA,White,325651
Yorba Linda,California,45.5,31960.0,36006.0,67966,3171.0,15532.0,3.0,CA,Asian,17616
Mobile,Alabama,38.0,91275.0,103030.0,194305,11939.0,7234.0,2.4,AL,White,93755
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,Black or African-American,24437
Miami Gardens,Florida,34.9,50719.0,62480.0,113199,2327.0,33394.0,3.75,FL,Black or African-American,85300
Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,American Indian and Alaska Native,4857
Tracy,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,American Indian and Alaska Native,2120
Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,White,73022
Victoria,Texas,35.8,32290.0,35291.0,67581,5000.0,4480.0,2.7,TX,Asian,2032
Delray Beach,Florida,47.9,32219.0,34042.0,66261,4232.0,16639.0,2.35,FL,Asian,1696
Columbus,Georgia,33.7,98785.0,101794.0,200579,21747.0,10376.0,2.62,GA,White,97436
Kenner,Louisiana,36.9,33993.0,33113.0,67106,2485.0,12352.0,2.57,LA,Hispanic or Latino,17769
Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,13539.0,19146.0,2.45,IN,White,204114
Concord,North Carolina,35.7,42732.0,44961.0,87693,4621.0,8847.0,2.72,NC,Black or African-American,19027
Oakland,California,35.7,203827.0,215451.0,419278,12159.0,113896.0,2.56,CA,Hispanic or Latino,114054
Rochester,New York,31.4,100135.0,109673.0,209808,7288.0,17735.0,2.36,NY,American Indian and Alaska Native,4856
